Occupation Codes: 2003-2010 (2002 Census Classification Scheme),Occupation Codes: 2011-2019 (2010 Census Classification Scheme),Occupation Codes: 2020+ (2018 Census Classification Scheme)
0,0,0
Not in universe,Not in universe,Not in universe
10,10,10
Chief executives,Chief executives,Chief executives
20,20,20
General and operations managers,General and operations managers,General and operations managers
40,30,40
Advertising and promotions managers,Legislators,Advertising and promotions managers
50,40,51
Marketing and sales managers,Advertising and promotions managers,Marketing managers
60,50,52
Public relations managers,Marketing and sales managers,Sales managers
100,60,60
Administrative services managers,Public relations managers,Public relations and fundraising managers
110,100,101
Computer and information systems managers,Administrative services managers,Administrative services managers
120,110,102
Financial managers,Computer and information systems managers,Facilities managers
130,120,110
Human Resources Managers,Financial managers,Computer and information systems managers
140,135,120
Industrial production managers,Compensation and Benefits Managers,Financial managers
150,136,135
Purchasing managers,Human Resources Managers,Compensation and benefits managers
160,137,136
"Transportation, storage, and distribution managers",Training and Development Managers,Human resources managers
200,140,137
"Farm, ranch, and other agricultural managers",Industrial production managers,Training and development managers
210,150,140
Farmers and ranchers,Purchasing managers,Industrial production managers
220,160,150
Construction managers,"Transportation, storage, and distribution managers",Purchasing managers
230,205,160
Education administrators,"Farmers, Ranchers, and Other Agricultural Managers","Transportation, storage, and distribution managers"
300,220,205
Engineering managers,Construction managers,"Farmers, ranchers, and other agricultural managers"
310,230,220
Food service managers,Education administrators,Construction managers
320,300,230
Funeral directors,Engineering managers,Education and childcare administrators
330,310,300
Gaming managers,Food service managers,Architectural and engineering managers
340,325,310
Lodging managers,Funeral service managers,Food service managers
350,330,335
Medical and health services managers,Gaming managers,Entertainment and recreation managers
360,340,340
Natural sciences managers,Lodging managers,Lodging managers
410,350,350
"Property, real estate, and community association managers",Medical and health services managers,Medical and health services managers
420,360,360
Social and community service managers,Natural sciences managers,Natural sciences managers
430,400,410
"Managers, all other",Postmasters and mail superintendents,"Property, real estate, and community association managers"
500,410,420
"Agents and business managers of artists, performers, and athletes","Property, real estate, and community association managers",Social and community service managers
510,420,425
"Purchasing agents and buyers, farm products",Social and community service managers,Emergency management directors
520,425,440
"Wholesale and retail buyers, except farm products",Emergency Management Directors,"Managers, all other"
530,430,500
"Purchasing agents, except wholesale, retail, and farm products","Managers, all other","Agents and business managers of artists, performers, and athletes"
540,500,510
"Claims adjusters, appraisers, examiners, and investigators","Agents and business managers of artists, performers, and athletes","Buyers and purchasing agents, farm products"
560,510,520
"Compliance officers, except agriculture, construction, health and safety, and transportation","Purchasing agents and buyers, farm products","Wholesale and retail buyers, except farm products"
600,520,530
Cost estimators,"Wholesale and retail buyers, except farm products","Purchasing agents, except wholesale, retail, and farm products"
620,530,540
"Human resources, training, and labor relations specialists","Purchasing agents, except wholesale, retail, and farm products","Claims adjusters, appraisers, examiners, and investigators"
700,540,565
Logisticians,"Claims adjusters, appraisers, examiners, and investigators",Compliance officers
710,550,600
Management analysts,Not used,Cost estimators
720,565,630
Meeting and convention planners,Compliance officers,Human resources workers
730,600,640
Other business operations specialists,Cost estimators,"Compensation, benefits, and job analysis specialists"
800,610,650
Accountants and auditors,Not used,Training and development specialists
810,630,700
Appraisers and assessors of real estate,Human resource workers,Logisticians
820,640,705
Budget analysts,"Compensation, benefits, and job analysis specialists",Project management specialists
830,650,710
Credit analysts,Training and development specialists,Management analysts
840,700,725
Financial analysts,Logisticians,"Meeting, convention, and event planners"
850,710,726
Personal financial advisors,Management analysts,Fundraisers
860,725,735
Insurance underwriters,"Meeting, convention, and event planners",Market research analysts and marketing specialists
900,726,750
Financial examiners,Fundraisers,"Business operations specialists, all other"
910,735,800
Loan counselors and officers,Market research analysts and marketing specialists,Accountants and auditors
930,740,810
"Tax examiners, collectors, and revenue agents","Business operations specialists, all other",Property appraisers and assessors
940,800,820
Tax preparers,Accountants and auditors,Budget analysts
950,810,830
"Financial specialists, all other",Appraisers and assessors of real estate,Credit analysts
1000,820,845
Computer scientists and systems analysts,Budget analysts,Financial and investment analysts
1010,830,850
Computer programmers,Credit analysts,Personal financial advisors
1020,840,860
Computer software engineers,Financial analysts,Insurance underwriters
1040,850,900
Computer support specialists,Personal financial advisors,Financial examiners
1060,860,910
Database administrators,Insurance underwriters,Credit counselors and loan officers
1100,900,930
Network and computer systems administrators,Financial examiners,"Tax examiners and collectors, and revenue agents"
1110,910,940
Network systems and data communication analysts,Loan counselors and officers,Tax preparers
1200,920,960
Actuaries,Not used,Other financial specialists
1210,930,1005
Mathematicians,"Tax examiners, collectors, and revenue agents",Computer and information research scientists
1220,940,1006
Operations research analysts,Tax preparers,Computer systems analysts
1230,950,1007
Statisticians,"Financial specialists, all other",Information security analysts
1240,1000,1010
Miscellaneous mathematical science occupations,Computer scientists and systems analysts,Computer programmers
1300,1005,1021
"Architects, except naval",Computer and information research scientists,Software developers
1310,1006,1022
"Surveyors, cartographers, and photogrammetrists",Computer systems analysts,Software quality assurance analysts and testers
1320,1007,1031
Aerospace engineers,Information security analysts,Web developers
1330,1010,1032
Agricultural engineers,Computer programmers,Web and digital interface designers
1340,1020,1050
Biomedical engineers,"Software developers, applications and systems software",Computer support specialists
1350,1030,1065
Chemical engineers,Web developers,Database administrators and architects
1360,1050,1105
Civil engineers,Computer support specialists,Network and computer systems administrators
1400,1060,1106
Computer hardware engineers,Database administrators,Computer network architects
1410,1105,1108
Electrical and electronics engineers,Network and computer systems administrators,"Computer occupations, all other"
1420,1106,1200
Environmental engineers,Computer network architects,Actuaries
1430,1107,1220
"Industrial engineers, including health and safety","Computer occupations, all other",Operations research analysts
1440,1200,1240
Marine engineers and naval architects,Actuaries,Other mathematical science occupations
1450,1210,1305
Materials engineers,Mathematicians,"Architects, except landscape and naval"
1460,1220,1306
Mechanical engineers,Operations research analysts,Landscape architects
1500,1230,1310
"Mining and geological engineers, including mining safety engineers",Statisticians,"Surveyors, cartographers, and photogrammetrists"
1510,1240,1320
Nuclear engineers,Miscellaneous mathematical science occupations,Aerospace engineers
1520,1300,1340
Petroleum engineers,"Architects, except naval",Bioengineers and biomedical engineers
1530,1310,1350
"Engineers, all other","Surveyors, cartographers, and photogrammetrists",Chemical engineers
1540,1320,1360
Drafters,Aerospace engineers,Civil engineers
1550,1330,1400
"Engineering technicians, except drafters",Agricultural engineers,Computer hardware engineers
1560,1340,1410
Surveying and mapping technicians,Biomedical engineers,Electrical and electronics engineers
1600,1350,1420
Agricultural and food scientists,Chemical engineers,Environmental engineers
1610,1360,1430
Biological scientists,Civil engineers,"Industrial engineers, including health and safety"
1640,1400,1440
Conservation scientists and foresters,Computer hardware engineers,Marine engineers and naval architects
1650,1410,1450
Medical scientists,Electrical and electronics engineers,Materials engineers
1700,1420,1460
Astronomers and physicists,Environmental engineers,Mechanical engineers
1710,1430,1520
Atmospheric and space scientists,"Industrial engineers, including health and safety",Petroleum engineers
1720,1440,1530
Chemists and materials scientists,Marine engineers and naval architects,"Engineers, all other"
1740,1450,1541
Environmental scientists and geoscientists,Materials engineers,Architectural and civil drafters
1760,1460,1545
"Physical scientists, all other",Mechanical engineers,Other drafters
1800,1500,1551
Economists,"Mining and geological engineers, including mining safety engineers",Electrical and electronic engineering technologists and technicians
1810,1510,1555
Market and survey researchers,Nuclear engineers,"Other engineering technologists and technicians, except drafters"
1820,1520,1560
Psychologists,Petroleum engineers,Surveying and mapping technicians
1830,1530,1600
Sociologists,"Engineers, all other",Agricultural and food scientists
1840,1540,1610
Urban and regional planners,Drafters,Biological scientists
1860,1550,1640
Miscellaneous social scientists and related workers,"Engineering technicians, except drafters",Conservation scientists and foresters
1900,1560,1650
Agricultural and food science technicians,Surveying and mapping technicians,Medical scientists
1910,1600,1700
Biological technicians,Agricultural and food scientists,Astronomers and physicists
1920,1610,1710
Chemical technicians,Biological scientists,Atmospheric and space scientists
1930,1640,1720
Geological and petroleum technicians,Conservation scientists and foresters,Chemists and materials scientists
1940,1650,1745
Nuclear technicians,Medical scientists,"Environmental scientists and specialists, including health"
1960,1660,1750
"Other life, physical, and social science technicians","Life scientists, all other","Geoscientists and hydrologists, except geographers"
2000,1700,1760
Counselors,Astronomers and physicists,"Physical scientists, all other"
2010,1710,1800
Social workers,Atmospheric and space scientists,Economists
2020,1720,1821
Miscellaneous community and social service specialists,Chemists and materials scientists,Clinical and counseling psychologists
2030,1730,1822
Not used,Not used,School psychologists
2040,1740,1825
Clergy,Environmental scientists and geoscientists,Other psychologists
2050,1750,1840
"Directors, religious activities and education",Not used,Urban and regional planners
2060,1760,1860
"Religious workers, all other","Physical scientists, all other",Miscellaneous social scientists and related workers
2100,1800,1900
"Lawyers, Judges, magistrates, and other judicial workers",Economists,Agricultural and food science technicians
2140,1815,1910
Paralegals and legal assistants,Survey researchers,Biological technicians
2150,1820,1920
Miscellaneous legal support workers,Psychologists,Chemical technicians
2200,1830,1935
Postsecondary teachers,Sociologists,Environmental science and geoscience technicians
2300,1840,1970
Preschool and kindergarten teachers,Urban and regional planners,"Other life, physical, and social science technicians"
2310,1850,1980
Elementary and middle school teachers,Not used,Occupational health and safety specialists and technicians
2320,1860,2001
